#   
# Data with examples for FRANZ
#
# Copyright (C) June 2019, Jochen Broecker, University of Reading, UK
#
# See franz.py for more information
#
# AR-1 data with coefficient=0.9, std=1.0, leadtime=8, stratified to 3 strata along mean. Col.1: Verification, Col.2-6: Ensemble, Col.7: Strata
     1.128      1.667     -4.062      0.586     -0.078      2.997      2.000
     0.666     -2.356      0.587      0.204      0.652     -1.046      2.000
    -0.069     -1.214     -2.529      1.109      0.443     -2.422      1.000
    -1.074      2.666     -1.949      0.774      1.527      3.046      3.000
    -0.100     -2.223     -1.858      2.414      0.547      2.925      2.000
    -0.423      2.729     -0.658      2.573      3.665      1.942      3.000
    -1.282      1.511      2.945     -0.073      0.177     -0.595      2.000
    -0.683      1.357     -3.277      0.013      0.687     -0.232      2.000
    -1.358      3.586      0.963     -0.472      1.797      2.229      3.000
    -0.971      0.260     -2.399     -2.650      2.543     -0.980      1.000
    -1.238     -4.373     -0.698      1.045     -2.814      5.863      2.000
    -0.483     -2.165     -0.018      3.457      2.446      0.094      3.000
     0.087     -0.226     -0.911     -2.166      1.997      1.624      2.000
     1.119      0.735     -1.634     -1.860     -2.230     -0.390      1.000
     0.966     -4.087      3.293      1.125     -1.782     -2.577      2.000
    -0.392      4.766     -0.024     -1.585     -3.037     -1.112      2.000
    -1.522      2.204     -1.257      0.693      2.422     -2.017      2.000
    -0.235      2.867      4.923     -3.318     -2.351      0.012      2.000
     1.300     -1.851      0.530     -0.697     -3.182      0.821      2.000
     0.627     -1.162      2.008     -0.632     -1.218     -0.393      2.000
     0.859      1.085     -6.067     -2.742      0.977      0.527      1.000
     1.068     -2.397     -0.612     -0.141      2.222      3.622      3.000
     2.059     -5.615     -1.929      1.115      1.649     -1.637      1.000
     0.538      2.061     -0.867     -0.791     -2.905      2.401      2.000
    -0.444     -2.058      2.018      3.568      2.005     -2.318      2.000
    -1.050      0.805      3.142     -2.638      2.285      5.846      3.000
    -0.414     -0.851     -1.582     -1.445      0.435      0.557      1.000
    -0.353      3.069      3.134     -1.467      2.522     -2.374      3.000
     0.112      1.245      0.585     -0.558     -0.342     -0.131      2.000
    -0.434      2.326      1.100      2.795      3.416      0.749      3.000
     1.512     -1.611     -2.843     -1.904     -0.179     -3.475      1.000
     2.783      0.977      3.339      0.082      2.482     -1.104      3.000
     2.529     -0.092      1.323     -3.970      2.588      2.046      3.000
     1.593     -1.415      0.197     -0.496     -1.506     -0.317      2.000
     2.433     -0.922     -2.547     -6.081     -1.116      1.123      1.000
     2.834     -3.036     -4.254     -0.480      2.482      4.541      2.000
     2.912     -1.830     -3.813     -2.790     -0.863     -2.285      1.000
     3.488      0.255      0.465     -2.867      0.802      0.102      2.000
     2.958      1.897     -0.114      2.521      3.318      1.225      3.000
     2.357     -1.999      1.400     -5.017      0.697      2.439      2.000
     3.145      1.236      1.776      3.556     -0.421      0.455      3.000
